,0
40,"I've never owned an iPhone and wanted to transition over after I heard about the spectacular battery life of the 13 Pro Max. I finally pulled the trigger and got it. Now coming to the phone, it's nothing short of amazing. It was a pretty easy transition but that may be because of the fact that I still have an android lying around when I need it. If you're sceptical of getting the phone on Flipkart, don't be. It's a genuine iPhone and the open box delivery system is quite neatThe only down...READ MORE"
41,"George NishadCertified Buyer, Chennai20 days ago40PermalinkReport Abuse"
42,"George NishadCertified Buyer, Chennai20 days ago"
43,40PermalinkReport Abuse
44,5Terrific purchase
45,"I would sum up my review with pros and cons.1. 120hz refresh rate really feels smooth and display is amazing.2. Very reliable in terms of overall hardware performance.3. From being an android user before , ios feels a lot better (not specific to phone)4. The battery life is a monster and surprisingly it will improve over time once the AI knows your usage, all optimisations will be put into place.5. Very reliable in terms of photography. It’s click and forget. Amazing auto focus. You can...READ MORE"
46,HarshCertified Buyer12 days ago31PermalinkReport Abuse
47,HarshCertified Buyer12 days ago
48,31PermalinkReport Abuse
49,5Perfect product!
50,"This is it, I am in love with my Oh.So.Pro🥰😍READ MORE"
51,"Nimisha yadavCertified Buyer, Bengaluru6 months ago5169441PermalinkReport Abuse"
52,"Nimisha yadavCertified Buyer, Bengaluru6 months ago"
53,5169441PermalinkReport Abuse
54,
55,"ABOUTContact UsAbout UsCareersFlipkart StoriesPressFlipkart WholesaleCorporate InformationHELPPaymentsShippingCancellation & ReturnsFAQReport InfringementPOLICYReturn PolicyTerms Of UseSecurityPrivacySitemapEPR ComplianceSOCIALFacebookTwitterYouTubeMail Us:Flipkart Internet Private Limited, 
 Buildings Alyssa, Begonia & 
 Clove Embassy Tech Village, 
 Outer Ring Road, Devarabeesanahalli Village, 
 Bengaluru, 560103, 
 Karnataka, India
Registered Office Address:Flipkart Internet Private Limited, 
 Buildings Alyssa, Begonia & 
 Clove Embassy Tech Village, 
 Outer Ring Road, Devarabeesanahalli Village, 
 Bengaluru, 560103, 
 Karnataka, India 
 CIN : U51109KA2012PTC066107 
 Telephone: 1800 202 9898
"
56,"4.6★1,074 Ratings &123 Reviews5★4★3★2★1★90967191168"
57,4.6★
58,"1,074 Ratings &"
59,123 Reviews
60,5Fabulous!
61,Truly a pro max phone!!!READ MORE
62,"Sudhanshu OjhaCertified Buyer, Bangalore6 months ago3003349PermalinkReport Abuse"
63,"Sudhanshu OjhaCertified Buyer, Bangalore6 months ago"
64,3003349PermalinkReport Abuse
65,5Worth every penny
66,Truly the best pro max. Worth the upgrade..Awesome build qualityREAD MORE
67,"Chandan HazarikaCertified Buyer, North Lakhimpur3 months ago1568182PermalinkReport Abuse"
68,"Chandan HazarikaCertified Buyer, North Lakhimpur3 months ago"
69,1568182PermalinkReport Abuse
70,5Fabulous!
71,Best in classREAD MORE
72,"Sumrendra SinghCertified Buyer, Lucknow7 months ago1003126PermalinkReport Abuse"
73,"Sumrendra SinghCertified Buyer, Lucknow7 months ago"
74,1003126PermalinkReport Abuse
75,5Worth every penny
76,"I love this phone very much, looking very wonderful in this blue colour.READ MORE"
77,"Pankaj SinghCertified Buyer, Nadbai3 months ago37041PermalinkReport Abuse"
78,"Pankaj SinghCertified Buyer, Nadbai3 months ago"
79,37041PermalinkReport Abuse
80,5Mind-blowing purchase
81,BeautifulREAD MORE
82,"sagar ambuwaniCertified Buyer, Raigarh7 months ago1950284PermalinkReport Abuse"
83,"sagar ambuwaniCertified Buyer, Raigarh7 months ago"
84,1950284PermalinkReport Abuse
85,5Awesome
86,Truly an amazing performance beast. Worth every pennyREAD MORE
87,"Chandan HazarikaCertified Buyer, North Lakhimpur4 months ago1241197PermalinkReport Abuse"
88,"Chandan HazarikaCertified Buyer, North Lakhimpur4 months ago"
89,1241197PermalinkReport Abuse
90,5Awesome
91,Perfect and original product ❤️thank you Filpkart ☺️READ MORE
92,"Flipkart CustomerCertified Buyer, Dungarpur4 months ago31945PermalinkReport Abuse"
93,"Flipkart CustomerCertified Buyer, Dungarpur4 months ago"
94,31945PermalinkReport Abuse
95,5Awesome
96,Nothing to say as every iPhone lover knows about it!!😜READ MORE
97,"Pavas KartavyaCertified Buyer, New Delhi5 months ago909147PermalinkReport Abuse"
98,"Pavas KartavyaCertified Buyer, New Delhi5 months ago"
99,909147PermalinkReport Abuse
100,5Highly recommended
101,Literally the best iphone ever. Such a fluid screen. Beast of a camera.READ MORE
102,"Aditya Ravi rajCertified Buyer, New Delhi7 months ago291PermalinkReport Abuse"
103,"Aditya Ravi rajCertified Buyer, New Delhi7 months ago"
104,291PermalinkReport Abuse
105,5Wonderful
106,Best smartphone in this year Camera is just awesome I will say worth itREAD MORE
107,"Sudeep RoyCertified Buyer, Purnia7 months ago1730309PermalinkReport Abuse"
108,"Sudeep RoyCertified Buyer, Purnia7 months ago"
109,1730309PermalinkReport Abuse
110,
111,"ABOUTContact UsAbout UsCareersFlipkart StoriesPressFlipkart WholesaleCorporate InformationHELPPaymentsShippingCancellation & ReturnsFAQReport InfringementPOLICYReturn PolicyTerms Of UseSecurityPrivacySitemapEPR ComplianceSOCIALFacebookTwitterYouTubeMail Us:Flipkart Internet Private Limited, 
 Buildings Alyssa, Begonia & 
 Clove Embassy Tech Village, 
 Outer Ring Road, Devarabeesanahalli Village, 
 Bengaluru, 560103, 
 Karnataka, India
Registered Office Address:Flipkart Internet Private Limited, 
 Buildings Alyssa, Begonia & 
 Clove Embassy Tech Village, 
 Outer Ring Road, Devarabeesanahalli Village, 
 Bengaluru, 560103, 
 Karnataka, India 
 CIN : U51109KA2012PTC066107 
 Telephone: 1800 202 9898
"
112,"4.6★1,074 Ratings &123 Reviews5★4★3★2★1★90967191168"
113,4.6★
114,"1,074 Ratings &"
115,123 Reviews
116,5Brilliant
117,Great phone and price is to highREAD MORE
118,"Sreenath PasalaCertified Buyer, Bangalore7 months ago160PermalinkReport Abuse"
119,"Sreenath PasalaCertified Buyer, Bangalore7 months ago"
120,160PermalinkReport Abuse
121,5Fabulous!
122,One Of The Powerful And Flagship Phone That Can't Get Down In Any GenerationREAD MORE
123,"ranganadhem chennaCertified Buyer, Guntakal7 months ago855176PermalinkReport Abuse"
124,"ranganadhem chennaCertified Buyer, Guntakal7 months ago"
125,855176PermalinkReport Abuse
126,5Terrific
127,Loved it❤️READ MORE
128,"Tanvir KhanCertified Buyer, Prayagraj19 days ago608127PermalinkReport Abuse"
129,"Tanvir KhanCertified Buyer, Prayagraj19 days ago"
130,608127PermalinkReport Abuse
131,5Classy product
132,"Seriously 13 max pro great..!! its battery backup is very good, Processor is very good and photos are looking very great..!Love it ..🥰Regards The Vikas SharmaREAD MORE"
133,"Vikas SharmaCertified Buyer, Kota2 months ago794194PermalinkReport Abuse"
134,"Vikas SharmaCertified Buyer, Kota2 months ago"
135,794194PermalinkReport Abuse
136,5Terrific purchase
137,Good phoneREAD MORE
138,"Sumit SharmaCertified Buyer, Ghaziabad4 months ago29565PermalinkReport Abuse"
139,"Sumit SharmaCertified Buyer, Ghaziabad4 months ago"
140,29565PermalinkReport Abuse
141,5Worth every penny
142,Great phoneREAD MORE
143,"Flipkart CustomerCertified Buyer, Madanapalle7 months ago242PermalinkReport Abuse"
144,"Flipkart CustomerCertified Buyer, Madanapalle7 months ago"
145,242PermalinkReport Abuse
146,5Mind-blowing purchase
147,It’s a beast 💯READ MORE
148,"vibhor babeleCertified Buyer, Indore7 months ago242PermalinkReport Abuse"
149,"vibhor babeleCertified Buyer, Indore7 months ago"
150,242PermalinkReport Abuse
151,5Terrific
152,Really I'm so happy to say flipkart thank a lot for fast delivery and orginal productREAD MORE
153,"IGNITE STAR ENTERPRISESCertified Buyer, Bellary District4 months ago430116PermalinkReport Abuse"
154,"IGNITE STAR ENTERPRISESCertified Buyer, Bellary District4 months ago"
155,430116PermalinkReport Abuse
156,5Best in the market!
157,Awesome phone nice camera thanks flipkart providing my favourite colour and fast delivery 👍🏼READ MORE
158,"Sameer ShaikhCertified Buyer, Mumbai5 months ago361103PermalinkReport Abuse"
159,"Sameer ShaikhCertified Buyer, Mumbai5 months ago"
160,361103PermalinkReport Abuse
161,5Worth every penny
162,SuperbREAD MORE
163,"Flipkart CustomerCertified Buyer, Gorakhpur1 month ago21661PermalinkReport Abuse"
164,"Flipkart CustomerCertified Buyer, Gorakhpur1 month ago"
165,21661PermalinkReport Abuse
166,
167,"ABOUTContact UsAbout UsCareersFlipkart StoriesPressFlipkart WholesaleCorporate InformationHELPPaymentsShippingCancellation & ReturnsFAQReport InfringementPOLICYReturn PolicyTerms Of UseSecurityPrivacySitemapEPR ComplianceSOCIALFacebookTwitterYouTubeMail Us:Flipkart Internet Private Limited, 
 Buildings Alyssa, Begonia & 
 Clove Embassy Tech Village, 
 Outer Ring Road, Devarabeesanahalli Village, 
 Bengaluru, 560103, 
 Karnataka, India
Registered Office Address:Flipkart Internet Private Limited, 
 Buildings Alyssa, Begonia & 
 Clove Embassy Tech Village, 
 Outer Ring Road, Devarabeesanahalli Village, 
 Bengaluru, 560103, 
 Karnataka, India 
 CIN : U51109KA2012PTC066107 
 Telephone: 1800 202 9898
"
168,"4.6★1,074 Ratings &123 Reviews5★4★3★2★1★90967191168"
169,4.6★
170,"1,074 Ratings &"
171,123 Reviews
172,5Brilliant
173,AwsREAD MORE
174,"Manju  ReddyCertified Buyer, Bangalore Urban7 months ago100PermalinkReport Abuse"
175,"Manju  ReddyCertified Buyer, Bangalore Urban7 months ago"
176,100PermalinkReport Abuse
177,5Perfect product!
178,The beast best in the market.READ MORE
179,"Bihag parekhCertified Buyer, Bharuch3 months ago21067PermalinkReport Abuse"
180,"Bihag parekhCertified Buyer, Bharuch3 months ago"
181,21067PermalinkReport Abuse
182,5Simply awesome
183,Awesome 👌READ MORE
184,"Sandeep MalikCertified Buyer, Pune7 months ago264PermalinkReport Abuse"
185,"Sandeep MalikCertified Buyer, Pune7 months ago"
186,264PermalinkReport Abuse
187,5Must buy!
188,Very Good Mobile phone Truest Company in Flipkart Superb Performance & Awesome CameraREAD MORE
189,"Mudassar shaikhCertified Buyer, Buldana5 months ago35951517PermalinkReport Abuse"
190,"Mudassar shaikhCertified Buyer, Buldana5 months ago"
191,35951517PermalinkReport Abuse
192,5Wonderful
193,Beast 🥶READ MORE
194,"Ashu SinghCertified Buyer, Faizabad1 month ago7724PermalinkReport Abuse"
195,"Ashu SinghCertified Buyer, Faizabad1 month ago"
196,7724PermalinkReport Abuse
197,5Great product
198,Was using 12 and shifted to ..the 13 pro max feel is ultimate...READ MORE
199,"Abhijeet SinghCertified Buyer, Dhanbad2 months ago7624PermalinkReport Abuse"
200,"Abhijeet SinghCertified Buyer, Dhanbad2 months ago"
201,7624PermalinkReport Abuse
202,4Nice product
203,"Really Nice Product,very smooth to used,but one side of speaker not workingREAD MORE"
204,"Flipkart CustomerCertified Buyer, Bihta Begusarai District2 months ago7323PermalinkReport Abuse"
205,"Flipkart CustomerCertified Buyer, Bihta Begusarai District2 months ago"
206,7323PermalinkReport Abuse
207,5Awesome
208,Excellent 😊READ MORE
209,"Samar MalodasCertified Buyer, Dhupguri28 days ago5115PermalinkReport Abuse"
210,"Samar MalodasCertified Buyer, Dhupguri28 days ago"
211,5115PermalinkReport Abuse
212,5Best iPhone
213,It's a gift for my mom and she loves it. Overall I wanted to give her a mobile with flagship features. Loved!READ MORE
214,"Harsh SharmaCertified Buyer, Banur1 month ago6422PermalinkReport Abuse"
215,"Harsh SharmaCertified Buyer, Banur1 month ago"
216,6422PermalinkReport Abuse
217,5Great product
218,"I have upgraded from XR. So, it’s a massive upgrade for me. Thanks  for making such a product.READ MORE"
219,"Flipkart CustomerCertified Buyer, Basti District4 months ago60PermalinkReport Abuse"
220,"Flipkart CustomerCertified Buyer, Basti District4 months ago"
221,60PermalinkReport Abuse
222,
223,"ABOUTContact UsAbout UsCareersFlipkart StoriesPressFlipkart WholesaleCorporate InformationHELPPaymentsShippingCancellation & ReturnsFAQReport InfringementPOLICYReturn PolicyTerms Of UseSecurityPrivacySitemapEPR ComplianceSOCIALFacebookTwitterYouTubeMail Us:Flipkart Internet Private Limited, 
 Buildings Alyssa, Begonia & 
 Clove Embassy Tech Village, 
 Outer Ring Road, Devarabeesanahalli Village, 
 Bengaluru, 560103, 
 Karnataka, India
Registered Office Address:Flipkart Internet Private Limited, 
 Buildings Alyssa, Begonia & 
 Clove Embassy Tech Village, 
 Outer Ring Road, Devarabeesanahalli Village, 
 Bengaluru, 560103, 
 Karnataka, India 
 CIN : U51109KA2012PTC066107 
 Telephone: 1800 202 9898
"
224,
225,"ABOUTContact UsAbout UsCareersFlipkart StoriesPressFlipkart WholesaleCorporate InformationHELPPaymentsShippingCancellation & ReturnsFAQReport InfringementPOLICYReturn PolicyTerms Of UseSecurityPrivacySitemapEPR ComplianceSOCIALFacebookTwitterYouTubeMail Us:Flipkart Internet Private Limited, 
 Buildings Alyssa, Begonia & 
 Clove Embassy Tech Village, 
 Outer Ring Road, Devarabeesanahalli Village, 
 Bengaluru, 560103, 
 Karnataka, India
Registered Office Address:Flipkart Internet Private Limited, 
 Buildings Alyssa, Begonia & 
 Clove Embassy Tech Village, 
 Outer Ring Road, Devarabeesanahalli Village, 
 Bengaluru, 560103, 
 Karnataka, India 
 CIN : U51109KA2012PTC066107 
 Telephone: 1800 202 9898
"
226,"4.6★1,074 Ratings &123 Reviews5★4★3★2★1★90967191168"
227,4.6★
228,"1,074 Ratings &"
229,123 Reviews
230,5Just wow!
231,Very good productREAD MORE
232,"Arun  DebnathCertified Buyer, Teliamura28 days ago9468PermalinkReport Abuse"
233,"Arun  DebnathCertified Buyer, Teliamura28 days ago"
234,9468PermalinkReport Abuse
235,5Awesome
236,Love itREAD MORE
237,"PRITAM  KUMAR Certified Buyer, Munger4 months ago252212PermalinkReport Abuse"
238,"PRITAM  KUMAR Certified Buyer, Munger4 months ago"
239,252212PermalinkReport Abuse
240,5Brilliant
241,Switched from Android to ios  Sierra blue colour is awesomeMacroshot is best partSeen best battery lifeREAD MORE
242,"Gyanendra MehraCertified Buyer, Kota6 months ago62PermalinkReport Abuse"
243,"Gyanendra MehraCertified Buyer, Kota6 months ago"
244,62PermalinkReport Abuse
245,5Must buy!
246,GoodREAD MORE
247,"Chandrashekar  GCCertified Buyer, Bangalore Urban1 month ago20PermalinkReport Abuse"
248,"Chandrashekar  GCCertified Buyer, Bangalore Urban1 month ago"
249,20PermalinkReport Abuse
250,5Mind-blowing purchase
251,Thanks Flipkart! Product is worth and received on time as expected. The packaging is good too.READ MORE
252,"wasim khanCertified Buyer, Vellore2 months ago20PermalinkReport Abuse"
253,"wasim khanCertified Buyer, Vellore2 months ago"
254,20PermalinkReport Abuse
255,5Must buy!
256,"A worth upgrade from 7 plus. Beast in performnce, legend in camera and the master in qualityREAD MORE"
257,"sharookh  SalamCertified Buyer, Varkala3 months ago20PermalinkReport Abuse"
258,"sharookh  SalamCertified Buyer, Varkala3 months ago"
259,20PermalinkReport Abuse
260,5Super!
261,Apple user since 2014 ; this one I loved itREAD MORE
262,"Pravin EazhawaCertified Buyer, Thane3 months ago30PermalinkReport Abuse"
263,"Pravin EazhawaCertified Buyer, Thane3 months ago"
264,30PermalinkReport Abuse
265,5Mind-blowing purchase
266,Thank you so much flipkart. I have been waiting so long to this device and flipkart delivered in an instant. So grateful to youREAD MORE
267,"Anudeep NCertified Buyer, Rajahmundry5 months ago30PermalinkReport Abuse"
268,"Anudeep NCertified Buyer, Rajahmundry5 months ago"
269,30PermalinkReport Abuse
270,5Classy product
271,Amazing must buyREAD MORE
272,"Flipkart CustomerCertified Buyer, New Delhi6 months ago20PermalinkReport Abuse"
273,"Flipkart CustomerCertified Buyer, New Delhi6 months ago"
274,20PermalinkReport Abuse
275,5Super!
276,Highly costly but best in class performanceREAD MORE
277,"Prof Dr Chandra Shekhar RajhansCertified Buyer, Narsimhapur6 months ago73PermalinkReport Abuse"
278,"Prof Dr Chandra Shekhar RajhansCertified Buyer, Narsimhapur6 months ago"
279,73PermalinkReport Abuse
280,
281,"ABOUTContact UsAbout UsCareersFlipkart StoriesPressFlipkart WholesaleCorporate InformationHELPPaymentsShippingCancellation & ReturnsFAQReport InfringementPOLICYReturn PolicyTerms Of UseSecurityPrivacySitemapEPR ComplianceSOCIALFacebookTwitterYouTubeMail Us:Flipkart Internet Private Limited, 
 Buildings Alyssa, Begonia & 
 Clove Embassy Tech Village, 
 Outer Ring Road, Devarabeesanahalli Village, 
 Bengaluru, 560103, 
 Karnataka, India
Registered Office Address:Flipkart Internet Private Limited, 
 Buildings Alyssa, Begonia & 
 Clove Embassy Tech Village, 
 Outer Ring Road, Devarabeesanahalli Village, 
 Bengaluru, 560103, 
 Karnataka, India 
 CIN : U51109KA2012PTC066107 
 Telephone: 1800 202 9898
"
282,"4.6★1,074 Ratings &123 Reviews5★4★3★2★1★90967191168"
283,4.6★
284,"1,074 Ratings &"
285,123 Reviews
286,5Simply awesome
287,No words.The real beast 💝✌️👌.Super fast with open box delivery by Flipkart with original product ❤️❤️❤️❤️ go for this.READ MORE
288,"Rahul MishraCertified Buyer, Prayagraj7 months ago73PermalinkReport Abuse"
289,"Rahul MishraCertified Buyer, Prayagraj7 months ago"
290,73PermalinkReport Abuse
291,5Mind-blowing purchase
292,Awesome 😊READ MORE
293,"Kandili DineshCertified Buyer, Hosur7 months ago63PermalinkReport Abuse"
294,"Kandili DineshCertified Buyer, Hosur7 months ago"
295,63PermalinkReport Abuse
296,4Really Nice
297,Good mobile unbelievable features by appleREAD MORE
298,"Sandeep PulluriCertified Buyer, Hyderabad6 months ago1613PermalinkReport Abuse"
299,"Sandeep PulluriCertified Buyer, Hyderabad6 months ago"
300,1613PermalinkReport Abuse
301,5Super!
302,This phone is a beast no need to say more the only con is that it has huge camera bump without protection it can make one worry about scratchesREAD MORE
303,"Anirudh DrallCertified Buyer, New Delhi2 months ago31PermalinkReport Abuse"
304,"Anirudh DrallCertified Buyer, New Delhi2 months ago"
305,31PermalinkReport Abuse
306,5Must buy!
307,Vary goodREAD MORE
308,"Flipkart CustomerCertified Buyer, Bengaluru2 months ago41PermalinkReport Abuse"
309,"Flipkart CustomerCertified Buyer, Bengaluru2 months ago"
310,41PermalinkReport Abuse
311,5Excellent
312,It’s value of money sometimes u realize u have great phones in ur handREAD MORE
313,"ashish chandra vermaCertified Buyer, Saharsa5 months ago31PermalinkReport Abuse"
314,"ashish chandra vermaCertified Buyer, Saharsa5 months ago"
315,31PermalinkReport Abuse
316,5Excellent
317,Like always… It the best phone.READ MORE
318,"MSS CustomerCertified Buyer, Hyderabad7 months ago31PermalinkReport Abuse"
319,"MSS CustomerCertified Buyer, Hyderabad7 months ago"
320,31PermalinkReport Abuse
321,4Very Good
322,The good mobile best performance quality build. Camera best .Fast mobile in your pocket.READ MORE
323,"Ragavedra RajaCertified Buyer, Mannargudi5 months ago97PermalinkReport Abuse"
324,"Ragavedra RajaCertified Buyer, Mannargudi5 months ago"
325,97PermalinkReport Abuse
326,4Wonderful
327,Nice Mobile PhoneREAD MORE
328,"Attar SinghCertified Buyer, Mandi Govindgarh6 months ago97PermalinkReport Abuse"
329,"Attar SinghCertified Buyer, Mandi Govindgarh6 months ago"
330,97PermalinkReport Abuse
331,5Great product
332,I loved this I am upgrading to android to ios for the first time smoothness camera quality all are unmatchable that’s why apple is no.1 in smart phone brandsREAD MORE
333,"duppala  Raj sekharCertified Buyer, Visakhapatnam5 months ago74PermalinkReport Abuse"
334,"duppala  Raj sekharCertified Buyer, Visakhapatnam5 months ago"
335,74PermalinkReport Abuse
336,
337,"ABOUTContact UsAbout UsCareersFlipkart StoriesPressFlipkart WholesaleCorporate InformationHELPPaymentsShippingCancellation & ReturnsFAQReport InfringementPOLICYReturn PolicyTerms Of UseSecurityPrivacySitemapEPR ComplianceSOCIALFacebookTwitterYouTubeMail Us:Flipkart Internet Private Limited, 
 Buildings Alyssa, Begonia & 
 Clove Embassy Tech Village, 
 Outer Ring Road, Devarabeesanahalli Village, 
 Bengaluru, 560103, 
 Karnataka, India
Registered Office Address:Flipkart Internet Private Limited, 
 Buildings Alyssa, Begonia & 
 Clove Embassy Tech Village, 
 Outer Ring Road, Devarabeesanahalli Village, 
 Bengaluru, 560103, 
 Karnataka, India 
 CIN : U51109KA2012PTC066107 
 Telephone: 1800 202 9898
"
338,"4.6★1,074 Ratings &123 Reviews5★4★3★2★1★90967191168"
339,4.6★
340,"1,074 Ratings &"
341,123 Reviews
342,5Mind-blowing purchase
343,NiceREAD MORE
344,"Flipkart CustomerCertified Buyer, Jaipur1 month ago10PermalinkReport Abuse"
345,"Flipkart CustomerCertified Buyer, Jaipur1 month ago"
346,10PermalinkReport Abuse
347,4Wonderful
348,Good qualityREAD MORE
349,"Paramjeet SidhuCertified Buyer, Faridkot1 month ago10PermalinkReport Abuse"
350,"Paramjeet SidhuCertified Buyer, Faridkot1 month ago"
351,10PermalinkReport Abuse
352,5Fabulous!
353,The best iPhone I have used I had iPhone earlier this is of whole new level of experience definitely recommend for people buying new iPhone worth the costREAD MORE
354,"John Rahul NCertified Buyer, Bangalore Urban1 month ago20PermalinkReport Abuse"
355,"John Rahul NCertified Buyer, Bangalore Urban1 month ago"
356,20PermalinkReport Abuse
357,5Classy product
358,Excellent phone but big size more weight...READ MORE
359,"srikanth Dondapati Certified Buyer, Hyderabad1 month ago10PermalinkReport Abuse"
360,"srikanth Dondapati Certified Buyer, Hyderabad1 month ago"
361,10PermalinkReport Abuse
362,5Classy product
363,ExcellentREAD MORE
364,"Sandeep  Warokar Certified Buyer, Bengaluru1 month ago10PermalinkReport Abuse"
365,"Sandeep  Warokar Certified Buyer, Bengaluru1 month ago"
366,10PermalinkReport Abuse
367,5Terrific
368,The Best Of AllREAD MORE
369,"Flipkart CustomerCertified Buyer, Hyderabad1 month ago20PermalinkReport Abuse"
370,"Flipkart CustomerCertified Buyer, Hyderabad1 month ago"
371,20PermalinkReport Abuse
372,5Must buy!
373,True beastREAD MORE
374,"Flipkart CustomerCertified Buyer, Bengaluru2 months ago10PermalinkReport Abuse"
375,"Flipkart CustomerCertified Buyer, Bengaluru2 months ago"
376,10PermalinkReport Abuse
377,5Worth every penny
378,Amazing phoneREAD MORE
379,"Neeraj kumar  RangiCertified Buyer, Jalor District2 months ago10PermalinkReport Abuse"
380,"Neeraj kumar  RangiCertified Buyer, Jalor District2 months ago"
381,10PermalinkReport Abuse
382,5Great product
383,First time spending this much and worth every penny.READ MORE
384,"Ankith MankunnuCertified Buyer, Bengaluru3 months ago10PermalinkReport Abuse"
385,"Ankith MankunnuCertified Buyer, Bengaluru3 months ago"
386,10PermalinkReport Abuse
387,5Fabulous!
388,The best apple till nowREAD MORE
389,"debabrata sarkarCertified Buyer, Chennai3 months ago10PermalinkReport Abuse"
390,"debabrata sarkarCertified Buyer, Chennai3 months ago"
391,10PermalinkReport Abuse
392,
393,"ABOUTContact UsAbout UsCareersFlipkart StoriesPressFlipkart WholesaleCorporate InformationHELPPaymentsShippingCancellation & ReturnsFAQReport InfringementPOLICYReturn PolicyTerms Of UseSecurityPrivacySitemapEPR ComplianceSOCIALFacebookTwitterYouTubeMail Us:Flipkart Internet Private Limited, 
 Buildings Alyssa, Begonia & 
 Clove Embassy Tech Village, 
 Outer Ring Road, Devarabeesanahalli Village, 
 Bengaluru, 560103, 
 Karnataka, India
Registered Office Address:Flipkart Internet Private Limited, 
 Buildings Alyssa, Begonia & 
 Clove Embassy Tech Village, 
 Outer Ring Road, Devarabeesanahalli Village, 
 Bengaluru, 560103, 
 Karnataka, India 
 CIN : U51109KA2012PTC066107 
 Telephone: 1800 202 9898
"
394,"4.6★1,074 Ratings &123 Reviews5★4★3★2★1★90967191168"
395,4.6★
396,"1,074 Ratings &"
397,123 Reviews
398,5Highly recommended
399,Awesome ProductREAD MORE
400,"Srikanth DorolaCertified Buyer, Hyderabad3 months ago20PermalinkReport Abuse"
401,"Srikanth DorolaCertified Buyer, Hyderabad3 months ago"
402,20PermalinkReport Abuse
403,5Brilliant
404,😍😋 amazing phoneREAD MORE
405,"Devendra Singh OlaCertified Buyer, Alwar District6 months ago20PermalinkReport Abuse"
406,"Devendra Singh OlaCertified Buyer, Alwar District6 months ago"
407,20PermalinkReport Abuse
408,1Utterly Disappointed
409,"It's have front camera problem. When I take I picture portrait mode, phone hanged.. don't buy thisREAD MORE"
410,"Flipkart CustomerCertified Buyer, Chakdaha5 months ago173332PermalinkReport Abuse"
